AGS3_GROUP,AGS3_HEADING,AGS4_GROUP,AGS4_HEADING
ABBR,ABBR_CODE,ABBR,ABBR_CODE
ABBR,ABBR_DESC,ABBR,ABBR_DESC
ABBR,ABBR_HDNG,ABBR,ABBR_HDNG
BKFL,BKFL_BASE,BKFL,BKFL_BASE
BKFL,BKFL_DATE,BKFL,BKFL_DATE
BKFL,BKFL_LEG,BKFL,BKFL_LEG
BKFL,BKFL_REM,BKFL,BKFL_REM
BKFL,BKFL_TOP,BKFL,BKFL_TOP
BKFL,FILE_FSET,BKFL,FILE_FSET
BKFL,HOLE_ID,BKFL,LOCA_ID
BTVT,BTVT_APTR,WGPT,WGPT_RDNG
BTVT,BTVT_DA,WGPT,WGPT_RDNG
BTVT,BTVT_DD,WGPT,WGPT_RDNG
BTVT,BTVT_JCDN,WGPT,WGPT_RDNG
BTVT,BTVT_REM,WGPG,WGPG_REM
BTVT,BTVT_RGHN,WGPT,WGPT_RDNG
BTVT,HOLE_ID,WGPG,LOCA_ID
CDIA,CDIA_CDEP,CDIA,CDIA_DPTH
CDIA,CDIA_HOLE,CDIA,CDIA_DIAM
CDIA,CDIA_REM,CDIA,CDIA_REM
CDIA,HOLE_ID,CDIA,LOCA_ID
CLSS,CLSS_425,LLPL,LLPL_425
CLSS,CLSS_BDEN,LDEN,LDEN_BDEN
CLSS,CLSS_DDEN,LDEN,LDEN_DDEN
CLSS,CLSS_HVP,LVAN,LVAN_VNPK
CLSS,CLSS_HVR,LVAN,LVAN_VNRM
CLSS,CLSS_LL,LLPL,LLPL_LL
CLSS,CLSS_LS,LLIN,LLIN_LS
CLSS,CLSS_NMC,LNMC,LNMC_MC
CLSS,CLSS_PD,LPDN,LPDN_PDEN
CLSS,CLSS_PL,LLPL,LLPL_PL
CLSS,CLSS_PPEN,LPEN,LPEN_PPEN
CLSS,CLSS_PREP,LLIN,LLIN_PREP
CLSS,CLSS_PREP,LLPL,LLPL_PREP
CLSS,CLSS_PREP,LSLT,SPEC_PREP
CLSS,CLSS_REM,LDEN,LDEN_REM
CLSS,CLSS_REM,LLIN,LLIN_REM
CLSS,CLSS_REM,LLPL,LLPL_REM
CLSS,CLSS_REM,LNMC,LNMC_REM
CLSS,CLSS_REM,LPDN,LPDN_REM
CLSS,CLSS_REM,LPEN,LPEN_REM
CLSS,CLSS_REM,LSLT,LSLT_REM
CLSS,CLSS_REM,LVAN,LVAN_REM
CLSS,CLSS_SLIM,LSLT,LSLT_SLIM
CLSS,CLSS_VNPK,LVAN,LVAN_VNPK
CLSS,CLSS_VNRM,LVAN,LVAN_VNRM
CLSS,FILE_FSET,LDEN,FILE_FSET
CLSS,FILE_FSET,LLIN,FILE_FSET
CLSS,FILE_FSET,LLPL,FILE_FSET
CLSS,FILE_FSET,LNMC,FILE_FSET
CLSS,FILE_FSET,LPDN,FILE_FSET
CLSS,FILE_FSET,LPEN,FILE_FSET
CLSS,FILE_FSET,LSLT,FILE_FSET
CLSS,FILE_FSET,LVAN,FILE_FSET
CLSS,HOLE_ID,LDEN,LOCA_ID
CLSS,HOLE_ID,LLIN,LOCA_ID
CLSS,HOLE_ID,LLPL,LOCA_ID
CLSS,HOLE_ID,LNMC,LOCA_ID
CLSS,HOLE_ID,LPDN,LOCA_ID
CLSS,HOLE_ID,LPEN,LOCA_ID
CLSS,HOLE_ID,LSLT,LOCA_ID
CLSS,HOLE_ID,LVAN,LOCA_ID
CLSS,SAMP_REF,LDEN,SAMP_REF
CLSS,SAMP_REF,LLIN,SAMP_REF
CLSS,SAMP_REF,LLPL,SAMP_REF
CLSS,SAMP_REF,LNMC,SAMP_REF
CLSS,SAMP_REF,LPDN,SAMP_REF
CLSS,SAMP_REF,LPEN,SAMP_REF
CLSS,SAMP_REF,LSLT,SAMP_REF
CLSS,SAMP_REF,LVAN,SAMP_REF
CLSS,SAMP_TOP,LDEN,SAMP_TOP
CLSS,SAMP_TOP,LLIN,SAMP_TOP
CLSS,SAMP_TOP,LLPL,SAMP_TOP
CLSS,SAMP_TOP,LNMC,SAMP_TOP
CLSS,SAMP_TOP,LPDN,SAMP_TOP
CLSS,SAMP_TOP,LPEN,SAMP_TOP
CLSS,SAMP_TOP,LSLT,SAMP_TOP
CLSS,SAMP_TOP,LVAN,SAMP_TOP
CLSS,SAMP_TYPE,LDEN,SAMP_TYPE
CLSS,SAMP_TYPE,LLIN,SAMP_TYPE
CLSS,SAMP_TYPE,LLPL,SAMP_TYPE
CLSS,SAMP_TYPE,LNMC,SAMP_TYPE
CLSS,SAMP_TYPE,LPDN,SAMP_TYPE
CLSS,SAMP_TYPE,LPEN,SAMP_TYPE
CLSS,SAMP_TYPE,LSLT,SAMP_TYPE
CLSS,SAMP_TYPE,LVAN,SAMP_TYPE
CLSS,SPEC_DPTH,LDEN,SPEC_DPTH
CLSS,SPEC_DPTH,LLIN,SPEC_DPTH
CLSS,SPEC_DPTH,LLPL,SPEC_DPTH
CLSS,SPEC_DPTH,LNMC,SPEC_DPTH
CLSS,SPEC_DPTH,LPDN,SPEC_DPTH
CLSS,SPEC_DPTH,LPEN,SPEC_DPTH
CLSS,SPEC_DPTH,LSLT,SPEC_DPTH
CLSS,SPEC_DPTH,LVAN,SPEC_DPTH
CLSS,SPEC_REF,LDEN,SPEC_REF
CLSS,SPEC_REF,LLIN,SPEC_REF
CLSS,SPEC_REF,LLPL,SPEC_REF
CLSS,SPEC_REF,LNMC,SPEC_REF
CLSS,SPEC_REF,LPDN,SPEC_REF
CLSS,SPEC_REF,LPEN,SPEC_REF
CLSS,SPEC_REF,LSLT,SPEC_REF
CLSS,SPEC_REF,LVAN,SPEC_REF
CNMT,CNMT_CAS,ELRG,ELRG_CASC
CNMT,CNMT_CRED,ELRG,ELRG_CRED
CNMT,CNMT_CRED,GCHM,GCHM_CRED
CNMT,CNMT_LAB,ELRG,ELRG_LAB
CNMT,CNMT_LAB,GCHM,GCHM_LAB
CNMT,CNMT_LBID,ELRG,ELRG_LSID
CNMT,CNMT_LBID,GCHM,GCHM_LSID
CNMT,CNMT_LIM,ELRG,ELRG_MDLM
CNMT,CNMT_LIM,GCHM,GCHM_DLM
CNMT,CNMT_METH,ELRG,ELRG_METH
CNMT,CNMT_METH,GCHM,GCHM_METH
CNMT,CNMT_NAME,ELRG,ELRG_NAME
CNMT,CNMT_NAME,GCHM,GCHM_NAME
CNMT,CNMT_PREP,ELRG,SPEC_PREP
CNMT,CNMT_PREP,GCHM,SPEC_PREP
CNMT,CNMT_REM,ELRG,ELRG_REM
CNMT,CNMT_REM,GCHM,GCHM_REM
CNMT,CNMT_RESL,ELRG,ELRG_RVAL
CNMT,CNMT_RESL,GCHM,GCHM_RESL
CNMT,CNMT_TTYP,GCHM,GCHM_TTYP
CNMT,CNMT_TYPE,ELRG,ELRG_CODE
CNMT,CNMT_TYPE,GCHM,GCHM_CODE
CNMT,CNMT_UNIT,ELRG,ELRG_RUNI
CNMT,CNMT_UNIT,GCHM,GCHM_UNIT
CNMT,FILE_FSET,ELRG,FILE_FSET
CNMT,FILE_FSET,GCHM,FILE_FSET
CNMT,HOLE_ID,ELRG,LOCA_ID
CNMT,HOLE_ID,GCHM,LOCA_ID
CNMT,SAMP_REF,ELRG,SAMP_REF
CNMT,SAMP_REF,GCHM,SAMP_REF
CNMT,SAMP_TOP,ELRG,SAMP_TOP
CNMT,SAMP_TOP,GCHM,SAMP_TOP
CNMT,SAMP_TYPE,ELRG,SAMP_TYPE
CNMT,SAMP_TYPE,GCHM,SAMP_TYPE
CNMT,SPEC_DPTH,ELRG,SPEC_DPTH
CNMT,SPEC_DPTH,GCHM,SPEC_DPTH
CNMT,SPEC_REF,ELRG,SPEC_REF
CNMT,SPEC_REF,GCHM,SPEC_REF
CONG,CONG_BDEN,CONG,CONG_BDEN
CONG,CONG_COND,CONG,CONG_COND
CONG,CONG_DDEN,CONG,CONG_DDEN
CONG,CONG_DIA,CONG,CONG_SDIA
CONG,CONG_HIGT,CONG,CONG_HIGT
CONG,CONG_INCD,CONS,CONS_INCF
CONG,CONG_INCD,CONS,CONS_INCN
CONG,CONG_INCM,CONS,CONS_INMV
CONG,CONG_IVR,CONG,CONG_IVR
CONG,CONG_MCF,CONG,CONG_MCF
CONG,CONG_MCI,CONG,CONG_MCI
CONG,CONG_PDEN,CONG,CONG_PDEN
CONG,CONG_REM,CONG,CONG_REM
CONG,CONG_SATH,CONG,CONG_SATH
CONG,CONG_SATR,CONG,CONG_SATR
CONG,CONG_SPRS,CONG,CONG_SPRS
CONG,CONG_TYPE,CONG,CONG_TYPE
CONG,FILE_FSET,CONG,FILE_FSET
CONG,HOLE_ID,CONG,LOCA_ID
CONG,SAMP_REF,CONG,SAMP_REF
CONG,SAMP_TOP,CONG,SAMP_TOP
CONG,SAMP_TYPE,CONG,SAMP_TYPE
CONG,SPEC_DPTH,CONG,SPEC_DPTH
CONG,SPEC_REF,CONG,SPEC_REF
CONS,CONS_CVLG,CONS,CONS_CVLG
